rest_name,locality,cost_for_two,rating,cuisines
Kapoor's Punjabi Rolls,Kalyan Nagar,300,4.4,"['Rolls', 'Fast Food']"
La Casa Brewery And Kitchen,Sarjapur Road,"1,500",4.4,"['Finger Food', 'Continental', 'Seafood']"
Foxtrot - House of Subculture,Koramangala 3rd Block,"1,000",4.4,"['Cafe', 'American', 'Asian', 'North Indian']"
Hari Super Sandwich,Jayanagar,200,4.4,"['Fast Food', 'Street Food']"
Hotel Tom's Restaurant,Richmond Road,"1,000",4.4,"['Mangalorean', 'Seafood', 'Chinese', 'North Indian']"
Lavonne,Indiranagar,800,4.4,"['Cafe', 'Desserts']"
Tree Tops Bar & Kitchen,"Hotel Southern Star, Lavelle Road","1,000",4.4,"['North Indian', 'Chinese', 'Continental', 'Italian']"
Deja Vu Resto Bar,"Gopalan Innovation Mall, Bannerghatta",900,4.4,"['North Indian', 'Italian']"
Teburu,Kalyan Nagar,800,4.4,"['Asian', 'Chinese', 'Japanese', 'BBQ']"
Salt - Indian Restaurant - Bar & Grill,"VR Bengaluru, Whitefield","1,500",4.4,['North Indian']
Dhaba - Estd 1986 Delhi,Indiranagar,"1,500",4.4,"['North Indian', 'Mughlai', 'Desserts']"
HVR Veg                                      ,Seshadripuram,300,4.4,['South Indian']
Mumbai Tiffin,HSR,400,4.4,['North Indian']
Sotally Tober,Koramangala 4th Block,"1,200",4.4,"['Asian', 'Burger', 'Pizza', 'Chinese', 'Finger Food']"
Zee5 Loft,HSR,700,4.4,"['Cafe', 'Burger', 'Pizza', 'Sandwich']"
JW Kitchen - JW Marriott Bengaluru,"JW Marriott Bengaluru, Lavelle Road","2,200",4.4,"['North Indian', 'Continental', 'Italian']"
Mimansa @ Foxtrot,Koramangala 3rd Block,"1,000",4.4,['Cafe']
Third Wave Coffee Roasters,Koramangala 4th Block,800,4.4,"['Cafe', 'Continental', 'Desserts']"
Foxtrot,Marathahalli,"1,200",4.4,"['North Indian', 'Chinese', 'Continental', 'Momos']"
GMT - Gelateria Montecatini Terme                                     ,Indiranagar,300,4.4,"['Desserts', 'Ice Cream']"
Connie's Restaurant & Steakhouse,Kammanahalli,"1,500",4.3,"['Steak', 'Continental', 'Burger', 'American', 'BBQ', 'European', 'Salad']"
Infinitea Tea Room & Tea Store,Indiranagar,"1,000",4.3,"['Continental', 'Cafe', 'Desserts', 'Salad', 'Momos']"
Green Onion,Residency Road,550,4.3,['Chinese']
Murphy's Brewhouse - The Paul Bangalore,"The Paul, Ring Road","1,700",4.3,"['Continental', 'North Indian', 'Finger Food']"
Jetlag,Rajajinagar,"1,650",4.3,"['Finger Food', 'Continental', 'North Indian', 'Italian', 'Japanese']"
Skoolroom,Ulsoor,700,4.3,"['Cafe', 'Continental', 'Italian', 'Burger', 'Beverages']"
Protein Grillhouse,Jayanagar,800,4.3,"['Healthy Food', 'Continental', 'Juices', 'Salad', 'Burger', 'Beverages', 'Desserts']"
Harima,Residency Road,"2,000",4.3,['Japanese']
Rigan Hyderabadi Bawarchi,Sahakara Nagar,600,4.3,"['Hyderabadi', 'North Indian', 'Chinese', 'Biryani']"
Albert Bakery,Frazer Town,150,4.3,"['Bakery', 'Fast Food']"
Tibetan Kitchen,Koramangala 5th Block,600,4.3,"['Tibetan', 'Chinese', 'Continental', 'Momos']"
True Bleu Resto Cafe,HSR,"1,000",4.3,"['Continental', 'Asian', 'Pizza', 'Salad']"
Habibi Falafel,Koramangala 1st Block,300,4.3,"['Lebanese', 'Middle Eastern']"
Ayodhya Upachar,Banashankari,200,4.3,"['South Indian', 'North Indian', 'Chinese', 'Street Food']"
South Kitchen                                     ,Basavanagudi,100,4.3,['South Indian']
Manjit Da Dhaba,Frazer Town,300,4.3,['North Indian']
Biryani Kitchen,"Inorbit Mall, Whitefield",450,4.3,['Biryani']
Barbecued - By The Orchard,Sadashiv Nagar,"1,200",4.3,['North Indian']
Based On A True Story- Bistro,Kammanahalli,800,4.3,"['Cafe', 'Burger', 'Italian', 'Desserts']"
Dum Pukht Jolly Nabobs - ITC Windsor                                     ,ITC Windsor,"4,000",4.3,['North Indian']
