rest_name,locality,cost_for_two,rating,votes,cuisines
Foxtrot - House of Subculture,Koramangala 3rd Block,"1,000",4.4,404,"['Cafe', 'American', 'Asian', 'North Indian']"
Nevermind - Bar & Social,Indiranagar,"2,000",4.4,243,"['Continental', 'Asian', 'Modern Indian']"
Bombay Brasserie,Indiranagar,"1,800",4.4,1932,['Modern Indian']
The 13th Floor,Barton Centre,"1,700",4.4,4630,"['Asian', 'North Indian', 'Thai']"
Brewklyn Microbrewery,Kalyan Nagar,"2,000",4.4,2396,"['American', 'Continental', 'Pizza']"
Sotally Tober,Koramangala 4th Block,"1,200",4.4,4181,"['Asian', 'Burger', 'Pizza', 'Chinese', 'Finger Food']"
Gods Own Cafe,Koramangala 7th Block,300,4.4,384,"['South Indian', 'Kerala', 'Seafood']"
PurpleBasil.in,Indiranagar,500,4.4,461,"['Healthy Food', 'Desserts']"
Phobidden Fruit,Indiranagar,"1,100",4.4,2970,"['Vietnamese', 'Salad']"
Brooks and Bonds Brewery,Koramangala 5th Block,"1,600",4.4,4166,"['Continental', 'Mediterranean', 'North Indian', 'Chinese', 'Finger Food']"
Mimansa @ Foxtrot,Koramangala 3rd Block,"1,000",4.4,193,['Cafe']
Somilan Steak House,Church Street,800,4.3,563,"['North Eastern', 'Asian', 'Naga', 'Steak', 'Momos']"
Sagar Hotel,Rajajinagar,600,4.3,834,"['North Indian', 'Chinese', 'Street Food', 'Juices']"
Podi Idly,Koramangala 6th Block,250,4.3,665,['South Indian']
Momo Jojo,JP Nagar,300,4.3,541,"['Chinese', 'Tibetan', 'Momos']"
Tibetan Kitchen,Koramangala 5th Block,600,4.3,255,"['Tibetan', 'Chinese', 'Continental', 'Momos']"
Cobaja,Brigade Road,700,4.3,89,"['Seafood', 'South Indian', 'Bar Food', 'Mangalorean', 'Konkan']"
All Aromas,Jayanagar,400,4.3,19,"['North Indian', 'Biryani']"
