rest_index,rest_name,locality,cost_for_two,rating,votes,score,cuisines
69,Opus Food Stories,"OPUS, Sarjapur Road","1,800",4.5,206,4.361,"['Goan', 'Asian', 'North Indian', 'European', 'Continental']"
225,Hotel Tom's Restaurant,Richmond Road,"1,000",4.4,730,4.361,"['Mangalorean', 'Seafood', 'Chinese', 'North Indian']"
204,Secret Of Bangalore,Rajarajeshwari Nagar,"1,200",4.4,721,4.36,"['North Indian', 'South Indian', 'Continental', 'Asian', 'Desserts']"
234,The Bier Library,Koramangala 6th Block,"2,000",4.4,704,4.359,"['Continental', 'North Indian', 'Pizza', 'BBQ']"
213,S N Refreshments,JP Nagar,100,4.4,669,4.357,['South Indian']
170,The Old Fashioned Bar,Koramangala 6th Block,"1,000",4.4,644,4.356,"['Finger Food', 'North Indian', 'Continental']"
190,Sri Raghavendra Stores,Malleshwaram,100,4.4,634,4.355,['South Indian']
161,Le Casse Croûte,Thippasandra,800,4.4,601,4.353,"['Fast Food', 'Sandwich']"
117,Karma Kaapi,Jayanagar,250,4.5,192,4.353,"['Beverages', 'Tea']"
149,Kaapi Katte,Rajarajeshwari Nagar,150,4.4,559,4.35,"['Beverages', 'South Indian', 'Fast Food']"
45,Namma SLN,Basavanagudi,100,4.6,113,4.35,['South Indian']
174,Le Gateau - The Cake Shop,Old Airport Road,600,4.4,547,4.349,"['Desserts', 'Bakery']"
181,Brahma Brews,JP Nagar,"1,400",4.4,530,4.347,"['Continental', 'South Indian', 'Finger Food', 'Pizza', 'Seafood']"
160,Enchanted Garden,Whitefield,"1,400",4.4,533,4.347,"['North Indian', 'Continental', 'Italian', 'Cafe', 'Pizza', 'Finger Food']"
217,Blue Ginger - The Taj West End,"The Taj West End, Race Course Road","3,200",4.4,520,4.346,['Vietnamese']
67,Dhuaan,Koramangala 5th Block,800,4.5,180,4.345,"['Cafe', 'Continental']"
142,Mooch Marod,Whitefield,350,4.4,511,4.345,['North Indian']
132,RockSalt,St. Marks Road,"1,900",4.4,513,4.345,['Modern Indian']
239,Punjab Bistro,Koramangala 7th Block,"1,500",4.4,501,4.344,['North Indian']
137,Thai Chy,Indiranagar,"1,200",4.4,497,4.344,"['Thai', 'Asian', 'Indonesian']"
159,PurpleBasil.in,Indiranagar,500,4.4,461,4.34,"['Healthy Food', 'Desserts']"
179,"Lush - Renaissance Hotel, Bengaluru","Renaissance Hotel, Race Course Road","1,200",4.4,444,4.338,"['North Indian', 'Continental']"
193,OKI,Kammanahalli,"1,200",4.4,438,4.337,"['Asian', 'European', 'Italian', 'Korean', 'Malaysian', 'Thai', 'Vietnamese', 'Chinese']"
227,The Lantern Restaurant & Bar - The Ritz-Carlton...,The Ritz-Carlton,"3,500",4.4,435,4.336,['Chinese']
183,Cirkus,HSR,"1,400",4.4,434,4.336,"['North Indian', 'Continental', 'Fast Food', 'Beverages', 'Pizza']"
203,Foxtrot - House of Subculture,Koramangala 3rd Block,"1,000",4.4,404,4.332,"['Cafe', 'American', 'Asian', 'North Indian']"
171,The Creek - The Den Bengaluru,"The Den, Whitefield","2,000",4.4,399,4.331,"['North Indian', 'Continental', 'Chinese']"
168,Gods Own Cafe,Koramangala 7th Block,300,4.4,384,4.329,"['South Indian', 'Kerala', 'Seafood']"
77,Shakes Theory,Jayanagar,300,4.5,159,4.328,"['Beverages', 'Sandwich']"
236,Hype - Shangri-La Hotel,"Shangri-La Hotel, Vasanth Nagar ","3,000",4.4,378,4.328,['Finger Food']
116,Rolls & Bowls,Brookefield,250,4.5,157,4.326,"['Rolls', 'Chinese']"
184,Poonam Sweets,Banashankari,150,4.4,369,4.326,['Mithai']
197,Bubblewrap Waffle Co.,Jayanagar,400,4.4,368,4.326,"['Desserts', 'Beverages']"
84,Mahjong Room - WelcomHotel Bengaluru,WelcomHotel,"1,200",4.5,156,4.325,['Chinese']
228,Drunkling - Sizzlers and Pub,Koramangala 5th Block,"1,000",4.4,352,4.323,"['Chinese', 'Continental', 'North Indian', 'Burger', 'Pizza', 'Seafood']"
165,Sri Laxmi Venkateshwara Coffee Bar,Banashankari,100,4.4,349,4.322,['South Indian']
155,The Himalayan,Koramangala 5th Block,"1,200",4.4,339,4.32,['Korean']
92,Bengaluru Cafe,Jayanagar,150,4.5,146,4.316,['South Indian']
122,Chai Days,Indiranagar,200,4.5,146,4.316,"['Cafe', 'Tea', 'Beverages', 'Fast Food']"
238,Asha Tiffins,HSR,150,4.4,319,4.316,['South Indian']
146,Masala Klub - The Taj West End,"The Taj West End, Race Course Road","4,000",4.4,311,4.314,"['North Indian', 'South Indian']"
178,GMT - Gelateria Montecatini Terme,Indiranagar,300,4.4,285,4.307,"['Desserts', 'Ice Cream']"
237,Arena - Artisanal Brewkitchen,Indiranagar,"2,000",4.4,252,4.296,"['Sushi', 'Continental', 'Pizza', 'Italian', 'Asian']"
163,Raghavendra Tiffin,HSR,150,4.4,249,4.295,['South Indian']
423,The Black Rabbit,"Escape Hotel & Spa, Indiranagar","1,500",4.3,4275,4.294,"['Continental', 'Finger Food']"
443,The Fisherman's Wharf,Sarjapur Road,"1,400",4.3,4169,4.294,"['Seafood', 'Goan', 'North Indian', 'Continental', 'Asian']"
384,Brewsky,JP Nagar,"1,600",4.3,4401,4.294,"['Continental', 'American']"
450,LOFT38,Indiranagar,"1,900",4.3,3708,4.293,"['Italian', 'BBQ', 'Asian', 'Fast Food']"
231,Nevermind - Bar & Social,Indiranagar,"2,000",4.4,243,4.293,"['Continental', 'Asian', 'Modern Indian']"
273,Tim Tai,Koramangala 5th Block,"1,400",4.3,3694,4.293,"['Chinese', 'Thai', 'Asian', 'Malaysian', 'Vietnamese', 'Sri Lankan', 'Burmese']"
434,Smally's Resto Cafe,Church Street,650,4.3,3593,4.293,"['Cafe', 'Italian', 'Burger', 'American', 'Steak']"
398,Gramin,Koramangala 7th Block,600,4.3,3502,4.293,['North Indian']
440,Kota Kachori,Koramangala 6th Block,400,4.3,3683,4.293,"['Street Food', 'Desserts', 'North Indian', 'Mithai', 'Rajasthani']"
413,Monkey Bar,Indiranagar,"1,400",4.3,3910,4.293,"['American', 'Asian', 'European', 'North Indian']"
139,The Bundle Co.,MG Road,700,4.4,240,4.292,"['Burger', 'Continental', 'Italian', 'Beverages']"
415,Ebony,Barton Centre,"1,500",4.3,3162,4.292,"['North Indian', 'South Indian']"
441,The Druid Garden,Sahakara Nagar,"1,700",4.3,3139,4.292,"['Asian', 'Continental', 'European', 'North Indian', 'Mediterranean']"
412,A Hole Lotta Love Cafe,Koramangala 5th Block,600,4.3,2895,4.291,"['Cafe', 'American', 'Burger', 'Sandwich', 'Beverages']"
382,The Only Place,Church Street,"1,000",4.3,2941,4.291,"['Italian', 'American', 'Steak', 'Continental', 'BBQ', 'Salad']"
233,Ging - Royal Orchid Central,"Royal Orchid Central, MG Road","2,000",4.4,235,4.29,['Asian']
375,The Biere Club,153 Biere Street,"1,700",4.3,2286,4.289,"['Continental', 'BBQ', 'Finger Food']"
394,Easy Tiger,Church Street,"1,100",4.3,2316,4.289,"['Finger Food', 'Continental']"
419,Imperio Restaurant,Whitefield,700,4.3,2129,4.288,"['North Indian', 'Arabian', 'Mughlai', 'Biryani', 'Seafood', 'Beverages']"
405,Shanmukha,Jayanagar,800,4.3,2093,4.288,"['Biryani', 'Andhra', 'North Indian', 'Chinese']"
414,Bangalore Brew Works,Residency Road,"1,700",4.3,2244,4.288,"['Continental', 'Italian']"
416,Zaitoon,Old Airport Road,"1,000",4.3,2047,4.287,"['BBQ', 'Arabian', 'Chinese', 'North Indian', 'Desserts']"
410,Portland Steakhouse & Cafe,MG Road,"1,500",4.3,2056,4.287,"['Steak', 'Italian', 'Continental', 'American', 'Burger', 'BBQ', 'Salad']"
282,Murphy's Brewhouse - The Paul Bangalore,"The Paul, Ring Road","1,700",4.3,2041,4.287,"['Continental', 'North Indian', 'Finger Food']"
209,Café Kaffea,Vijay Nagar,600,4.4,228,4.287,"['Cafe', 'Continental', 'Beverages']"
445,Dice N Dine,Koramangala 5th Block,900,4.3,1828,4.286,"['Continental', 'Cafe', 'Italian', 'Fast Food', 'Steak']"
424,Yo! Chow,Marathahalli,800,4.3,1862,4.286,"['Chinese', 'Momos']"
380,THE RIG,Sarjapur Road,"1,500",4.3,1810,4.286,"['Continental', 'Finger Food', 'Pizza']"
432,Boho,Koramangala 5th Block,"1,200",4.3,1866,4.286,"['Continental', 'Asian', 'American', 'North Indian', 'Desserts']"
383,Nagarjuna,Residency Road,800,4.3,1814,4.286,"['Andhra', 'Biryani']"
266,Hanoi - Vietnamese Cuisine,Koramangala 4th Block,"1,000",4.3,1834,4.286,['Vietnamese']
406,China Pearl,Koramangala 6th Block,"1,100",4.3,1873,4.286,['Chinese']
397,Tandoori Taal,Indiranagar,900,4.3,1807,4.286,"['Biryani', 'North Indian']"
367,Cafe Max,Indiranagar,"1,300",4.3,1668,4.285,"['Cafe', 'German', 'Italian']"
400,3 Monkeys Brewpub,"Gopalan Signature Mall, Old Madras Road","2,000",4.3,1672,4.285,"['Continental', 'North Indian', 'Chinese', 'Italian']"
418,Hoppipola,Church Street,"1,300",4.3,1771,4.285,"['Continental', 'Mediterranean', 'European']"
402,Esplanade,Indiranagar,"1,000",4.3,1598,4.284,['Bengali']
428,B-hive,Koramangala 1st Block,"1,200",4.3,1588,4.284,"['Finger Food', 'North Indian']"
200,The Konkan - Seafood Restaurant,St. Marks Road,850,4.4,222,4.284,"['Seafood', 'Konkan', 'Mangalorean']"
425,Wok Paper Scissors,Koramangala 5th Block,600,4.3,1639,4.284,"['Asian', 'Malaysian', 'Chinese', 'Thai', 'Momos']"
444,Rural Blues,Sarjapur Road,"1,300",4.3,1515,4.283,"['European', 'Mediterranean', 'Asian', 'North Indian', 'South Indian', 'Momos']"
449,Hungry Hippie,Koramangala 5th Block,800,4.3,1509,4.283,"['Cafe', 'Continental', 'Italian', 'Burger']"
306,Connie's Restaurant & Steakhouse,Kammanahalli,"1,500",4.3,1448,4.282,"['Steak', 'Continental', 'Burger', 'American', 'BBQ', 'European', 'Salad']"
374,Barbecoa,"D and N Enterprises, Marathahalli","1,000",4.3,1420,4.282,"['North Indian', 'Continental', 'Chettinad', 'Andhra', 'Bengali']"
250,Mangalore Pearl - Seafood Restaurant,Frazer Town,700,4.3,1387,4.282,"['Mangalorean', 'Seafood']"
276,Food Ras,Electronic City,900,4.3,1410,4.282,"['North Indian', 'Chinese', 'Japanese', 'European', 'Seafood']"
411,Ciclo Cafe,Indiranagar,"1,000",4.3,1368,4.281,"['Cafe', 'Italian', 'American']"
138,Teburu,Kalyan Nagar,800,4.4,214,4.281,"['Asian', 'Chinese', 'Japanese', 'BBQ']"
396,Leon Grill,Jeevan Bhima Nagar,500,4.3,1351,4.281,"['Burger', 'Fast Food']"
