rest_index,rest_name,locality,cost_for_two,rating,votes,cuisines
7171,Kalinga Delicacies Restaurant,Brookefield,500,3.1,15,"['North Indian', 'Bengali', 'Oriya', 'Chinese']"
7172,New Sagar Chicken,Commercial Street,300,3.1,6,"['North Indian', 'Chinese', 'Biryani']"
7173,Nikki's,Sadashiv Nagar,600,3.1,43,"['Chinese', 'North Indian']"
7174,Twillight Tandoor Resto,Rajarajeshwari Nagar,700,3.1,202,"['Andhra', 'North Indian', 'Chinese']"
7175,Paratha King,Bellandur,300,3.1,20,['North Indian']
7176,Chinese Corner,Brigade Road,200,3.1,5,['Chinese']
7177,Zero Miles,Rajarajeshwari Nagar,500,3.1,11,['North Indian']
7178,Malabar Kitchen,Commercial Street,400,3.1,6,"['Kerala', 'North Indian', 'Chinese']"
7179,Stars Cafe,Hennur,250,3.1,8,['Cafe']
7180,BR Military Hotel,Indiranagar,300,3.1,6,['North Indian']
7181,Tandoor Nation,BTM,400,3.1,40,"['North Indian', 'Chinese']"
7182,Bhukkad,Bannerghatta Road,250,3.1,7,"['Healthy Food', 'Fast Food']"
7183,GFC,Vijay Nagar,350,3.1,8,"['South Indian', 'Biryani']"
7184,Delhi Mahal,Whitefield,400,3.1,115,"['North Indian', 'Mughlai', 'Chinese']"
7185,Indian Spice Restaurant,KR Puram,550,3.1,303,"['North Indian', 'Chinese', 'Seafood']"
7186,Food Lounge,Yeshwantpur,400,3.1,57,['North Indian']
7187,NH 209 Kitchen & Mocktail Bar,Kanakapura Road,500,3.1,18,"['North Indian', 'Chinese']"
7188,Chicken Shawarma Hub,Bellandur,250,3.1,14,"['Fast Food', 'Arabian', 'Beverages']"
7189,Chicken Corner,Majestic,450,3.1,6,"['North Indian', 'Chinese', 'Mughlai']"
7190,R.J Food Point,KR Puram,600,3.1,11,"['North Indian', 'Chinese', 'Mughlai', 'Biryani']"
7191,Cave N Dine,Basaveshwara Nagar,800,3.1,405,"['North Indian', 'Chinese', 'Seafood']"
7192,Pizza Joint Food Junction,Indiranagar,350,3.1,8,"['Fast Food', 'Pizza']"
7193,TFC - Tony's Food Corner,Whitefield,400,3.1,23,"['North Indian', 'Chinese']"
7194,Out of The Box Cafe,"ITPL Main Road, Whitefield",400,3.1,12,"['North Indian', 'Biryani', 'Lucknowi', 'Rolls']"
7195,Tibbs Frankie,HSR,200,3.1,11,"['Street Food', 'Rolls']"
